U10,CoxMunkAlong,CoxMunkCross,CoxMunkTotal,GuerinAlong,GuerinCross,GuerinTotal,GuerinGamma,TgrsHuAlong,TgrsHuCross,TgrsHuTotal,TgrsGamma,ElfouhailyAlong,ElfouhailyCross,ElfouhailyTotal,ElfouhailyGamma
1,0.00322448979591837,0.00495918367346939,0.00818367346938776,NaN,NaN,NaN,NaN,0.00835959544138664,0.00624040455861336,0.0146,0.864,0.0113375801972069,0.00663554356586738,0.0179731237630743,0.765029296128536
2,0.00644897959183673,0.00691836734693878,0.0133673469387755,NaN,NaN,NaN,NaN,0.0118222532491613,0.0088252647614859,0.0206475180106472,0.864,0.012534557041487,0.00771411649809866,0.0202486735395857,0.784492148058946
3,0.0096734693877551,0.00887755102040816,0.0185510204081633,0.011,0.0097,0.0207,0.939051746081217,0.0144792440352028,0.0108086977553028,0.0252879417905056,0.864,0.015342630298955,0.00990799462606382,0.0252506249250188,0.803605630603964
4,0.0128979591836735,0.0108367346938775,0.023734693877551,0.0124,0.0111,0.0235,0.94612963716532,0.0167191908827733,0.0124808091172267,0.0292,0.864,0.0179295393287917,0.011927668226243,0.0298572075550347,0.815630034375489
5,0.0161224489795918,0.0127959183673469,0.0289183673469388,0.0146,0.0128,0.0274,0.936329177569045,0.0186926236713379,0.013953968800159,0.0326465924714969,0.864,0.0199359281245746,0.013471171567933,0.0334070996925076,0.822023917790872
6,0.0193469387755102,0.0147551020408163,0.0341020408163265,0.0174,0.0145,0.0319,0.912870929175277,0.0204767432874936,0.0152858069571408,0.0357625502446344,0.864,0.0215900347243437,0.0147131513646533,0.036303186088997,0.825517303835788
7,0.0225714285714286,0.0167142857142857,0.0392857142857143,0.0209,0.0162,0.0371,0.880408778480133,0.0222388141742094,0.0166011858257906,0.03884,0.864,0.0255635107759432,0.0176880230748143,0.0432515338507575,0.83182007867522
8,0.0257959183673469,0.0186734693877551,0.044469387755102,0.0249,0.0179,0.0428,0.847865261706146,0.025170398328997,0.018789601671003,0.04396,0.864,0.0292030309659673,0.0203558452659379,0.0495588762319052,0.834892588947912
9,0.0290204081632653,0.0206326530612245,0.0496530612244898,0.0286,0.0198,0.0484,0.832050294337844,0.0281019824837847,0.0209780175162153,0.04908,0.864,0.0324524276463746,0.0226795726226864,0.055132000269061,0.835976054971067
10,0.0322448979591837,0.0225918367346939,0.0548367346938776,0.0323,0.022,0.0543,0.825296644294396,0.0310335666385723,0.0231664333614277,0.0542,0.864,0.0353949841182646,0.0247287468344894,0.0601237309527539,0.835853553829342
