Group,U10,AlongMedian,CrossMedian,TotalMedian,TotalQ05,TotalQ25,TotalQ75,TotalQ95,GammaMedian,PrimaryMssLinearMedian,PrimaryMssModifiedMedian,ShortWaveMssMedian,DeltaPrimaryMssMedian,DeltaTotalMssMedian,RelativeDeltaPrimaryMssMedian,RelativeDeltaTotalMssMedian,ElevationSkewnessMedian,ElevationExcessKurtosisMedian,AlongSlopeSkewnessMedian,AlongSlopeExcessKurtosisMedian,CrossSlopeSkewnessMedian,CrossSlopeExcessKurtosisMedian,MaximumMssNumericalRelativeError,MaximumHermitianResidual,RieszEnergyRatioMedian
Linear Elfouhaily,1,0.0115201154640241,0.00686826831371629,0.0184607753666475,0.017923957606304,0.0181990009589427,0.0186470629047548,0.0189683795493407,0.769422263016684,0.00840587784234955,0.00845715432381921,0.0100702115405714,5.84520711617445e-05,5.84520711617454e-05,0.006981413685232,0.00322546198456778,-0.00895099788977605,-0.00603031803663812,-0.00198722419767402,0.0152608693569245,0.021749491435296,-0.0239766863010256,5.40489513570971e-15,3.83803957890321e-16,0.999999999999998
Linear Elfouhaily,2,0.0127222534903501,0.00797572981224637,0.0207882205928378,0.0201752899868983,0.0204704581426707,0.0209814865782707,0.0214376793752076,0.789152283110734,0.00842916356134886,0.00848042596245414,0.0123441866995715,5.85390807782771e-05,5.85390807782762e-05,0.00697256381370894,0.0028626894669747,-0.00893357584110535,-0.00598740790893149,-0.00835946545168663,-0.0121016482680414,0.0215902711930127,-0.00462770179956373,4.44225885834495e-15,3.62040050721154e-16,1
Linear Elfouhaily,3,0.0139440969282402,0.00895124322252077,0.0229114422852425,0.0224275431599065,0.0226338393636338,0.0231962766322412,0.023691366547235,0.798463499729553,0.00853911071398948,0.00859140530779402,0.0144353015821452,5.99022814617147e-05,5.99022814617139e-05,0.00704309065089447,0.00264075150708923,-0.00891200811318717,-0.00591681096642116,-0.00437156494505738,-0.0312725634296678,0.0142833907732293,-0.0101876091430304,3.25454092793909e-15,3.73564895974377e-16,0.999999999999999
Linear Elfouhaily,4,0.0168373356823912,0.0112215968257532,0.0281207111261611,0.0276488947692545,0.0277593335493995,0.0283019123938126,0.0288757646611159,0.813746444040406,0.00874421583804613,0.0087984951540279,0.0193833875959293,6.25102016424163e-05,6.25102016424146e-05,0.00717736028580769,0.00224150228413441,-0.00887451017175413,-0.00579287605586476,-0.00300485296813651,-0.0214853983492473,0.0030053298836138,-0.013750541133589,4.00223196467054e-15,4.84028118590539e-16,1
Linear Elfouhaily,5,0.0191713440114739,0.0129851588546391,0.0321779696076078,0.0316652691411828,0.0319171650379697,0.0324070697837643,0.0330448434672151,0.822362682601017,0.00882859464047658,0.00888374092022029,0.0233875389418418,6.36811566823514e-05,6.36811566823506e-05,0.00724218931975648,0.00198971185471945,-0.00885589977771557,-0.00576314686966795,0.00134237464627782,-0.00758689546030999,0.00525016505300837,-0.00673232483414554,4.64152857067537e-15,4.23452784560418e-16,1
Linear Elfouhaily,6,0.0211109141760209,0.014441097143463,0.0356354250698004,0.0349993802079883,0.0353230734514594,0.0359075244835859,0.0364162967492059,0.828584485030003,0.00886383389499329,0.0089192990415605,0.0267341597503512,6.40592260806559e-05,6.40592260806559e-05,0.00725597904229869,0.00180757598062835,-0.00885355413329345,-0.00572345524058004,0.000849136988278511,-0.000130599892793182,0.00565994039388542,-0.0329411550290759,4.62316337799167e-15,4.05379422344902e-16,1
Linear Elfouhaily,7,0.024174577770406,0.016718216882976,0.0410834083428972,0.0402453195896606,0.0406213786078047,0.0415027186749439,0.0419277509851672,0.834265327991803,0.00893956259227331,0.00899599593493802,0.0321485467812221,6.51320466714721e-05,6.51320466714747e-05,0.00731526366687138,0.00159723812258898,-0.00883675343062316,-0.00569987829230012,-0.00138742279004367,-0.00649895724890803,0.00765957210769728,-0.0429973283224068,3.05607783795541e-15,3.70364530636529e-16,0.999999999999999
Linear Elfouhaily,8,0.0285884272830672,0.0200552191541055,0.0487771493494985,0.0476049224387081,0.0480662608049276,0.0493601838149098,0.0499178653030382,0.837483532022712,0.0090485770615015,0.0091059029232692,0.0396045855507094,6.64883964472136e-05,6.64883964472153e-05,0.00737739940121409,0.00137379207952884,-0.00882207577601113,-0.00561936651097628,-0.00379218802018228,-0.00410971355485645,0.006069923388918,-0.0654558517804718,5.99468025410944e-15,4.10456698266894e-16,1
Linear Elfouhaily,9,0.0325978419229587,0.022988370973887,0.0555701242122485,0.0542130721530319,0.0547375484806698,0.0563189257960903,0.0570989357006443,0.838669858016764,0.00911736191569652,0.00917589131674029,0.0462961953993497,6.74900151942902e-05,6.74900151942937e-05,0.00743230329190667,0.00122336099028823,-0.00880685376220906,-0.00560124727352496,-0.0048020281602994,-0.00285018594672515,0.00783111799778868,-0.0658153858804149,5.65120688359595e-15,3.55833874707855e-16,1
Linear Elfouhaily,10,0.0362307526226329,0.0255661046603681,0.0615564041316957,0.0602269089989304,0.0609752421287794,0.0625020692948161,0.0636143222355911,0.837989491378635,0.00916041180630704,0.00921945533486772,0.0523835728995802,6.80673558336011e-05,6.80673558336106e-05,0.00746066169678341,0.0011107643627165,-0.00879977859352872,-0.0055779074877591,-0.00165008455533117,-0.00553333176151893,0.00958970548505072,-0.0475148650175556,4.71282586036606e-15,4.63687617157273e-16,1
Modified Lie Nonlinear,1,0.0115828692519815,0.00687702751750348,0.0185280411490404,0.0179903053451652,0.0182525604065612,0.018718176967562,0.0190386135677069,0.76819248723142,0.00840587784234955,0.00845715432381921,0.0100702115405714,5.84520711617445e-05,5.84520711617454e-05,0.006981413685232,0.00322546198456778,0.0244245753245647,0.00955337681719381,0.0666359973627872,0.0313539288299416,0.0298039821920426,-0.0212415128434291,5.02685782086694e-15,3.84191009906554e-16,0.999999999999998
Modified Lie Nonlinear,2,0.0127901076417858,0.00798508698784676,0.0208578960474549,0.020235821149687,0.0205240989592625,0.0210520804010481,0.0215072727384444,0.78804281911983,0.00842916356134886,0.00848042596245414,0.0123441866995715,5.85390807782771e-05,5.85390807782762e-05,0.00697256381370894,0.0028626894669747,0.0244548823743974,0.00959511916596489,0.0469832070786781,0.007600049522557,0.0295329857425109,-0.00526177315449261,4.15516777344942e-15,3.62419620146479e-16,1
Modified Lie Nonlinear,3,0.0139881537995239,0.00896129820060934,0.0229743758250653,0.0224845551805609,0.0226880254995574,0.0232685388543311,0.0237625338094892,0.797406231832397,0.00853911071398948,0.00859140530779402,0.0144353015821452,5.99022814617147e-05,5.99022814617139e-05,0.00704309065089447,0.00264075150708923,0.0246613115946109,0.00985754270512218,0.0509911958074389,-0.020584917799165,0.0241492143177704,-0.00795632036241178,4.09073181674624e-15,3.7248056924416e-16,0.999999999999999
Modified Lie Nonlinear,4,0.0169071050659249,0.0112299921829763,0.0281775670919424,0.0277147636531234,0.0278307309767398,0.0283509400932738,0.0289548124331341,0.812786124262548,0.00874421583804613,0.0087984951540279,0.0193833875959293,6.25102016424163e-05,6.25102016424146e-05,0.00717736028580769,0.00224150228413441,0.0250435216061523,0.0103438480464499,0.0379187911506159,-0.00874737019253002,0.0105601473184549,-0.0121438022022371,3.58358736504949e-15,4.84207158095404e-16,1
Modified Lie Nonlinear,5,0.0192145066960562,0.012994455120756,0.0322444702847866,0.0317230371877088,0.0319963133250242,0.0324565360559199,0.033123035137473,0.821496040916925,0.00882859464047658,0.00888374092022029,0.0233875389418418,6.36811566823514e-05,6.36811566823506e-05,0.00724218931975648,0.00198971185471945,0.0251899099268753,0.0105623497173706,0.0383538606895955,-0.0072693374359265,0.010700873126196,-0.00462756600443748,4.45839657189056e-15,4.23531319220143e-16,1
Modified Lie Nonlinear,6,0.0211543897789591,0.0144493152363651,0.0357107591885591,0.035056696273689,0.0353810006762267,0.0359549578052309,0.0364971917444207,0.827794930041629,0.00886383389499329,0.0089192990415605,0.0267341597503512,6.40592260806559e-05,6.40592260806559e-05,0.00725597904229869,0.00180757598062835,0.0252643908713322,0.0106243382601241,0.0316495027666976,0.00244535624542941,0.0108713748669568,-0.034650108286753,5.9572407273258e-15,4.05428879533328e-16,1
Modified Lie Nonlinear,7,0.0242330445219797,0.0167273173608797,0.0411637316305105,0.0403044512759371,0.0406742893996774,0.0415829602260585,0.0420048457234089,0.83367623641005,0.00893956259227331,0.00899599593493802,0.0321485467812221,6.51320466714721e-05,6.51320466714747e-05,0.00731526366687138,0.00159723812258898,0.0253937115705706,0.0108216875538267,0.0213286308617833,-0.00415462228093699,0.0106242470439544,-0.0433176845864929,2.65047842581458e-15,3.70793555671078e-16,0.999999999999999
Modified Lie Nonlinear,8,0.0286556391037236,0.0200645519232098,0.0488597354327093,0.0476658227390316,0.048120188222372,0.0494202691792592,0.0499985622845235,0.836937676026212,0.0090485770615015,0.0091059029232692,0.0396045855507094,6.64883964472136e-05,6.64883964472153e-05,0.00737739940121409,0.00137379207952884,0.025601965679973,0.0110542802516405,0.0132516017221146,-0.00186103660941761,0.00783143604640871,-0.0655269530669502,4.44875034434049e-15,4.09234989203001e-16,1
Modified Lie Nonlinear,9,0.0326602877661712,0.0230001560211855,0.0556548097013514,0.0542749107450102,0.0547925108180236,0.0563662622195251,0.0571807881903692,0.838183589047516,0.00911736191569652,0.00917589131674029,0.0462961953993497,6.74900151942902e-05,6.74900151942937e-05,0.00743230329190667,0.00122336099028823,0.0257170961288423,0.011234173358099,0.0112897059385269,-0.0030779200158515,0.00933070374269235,-0.0682500124833811,6.32727832473145e-15,3.55638500513947e-16,1
Modified Lie Nonlinear,10,0.0362922935293881,0.025577987572362,0.0616390226055596,0.0602892863700164,0.0610360077338148,0.0625498482925411,0.0636996669573043,0.837549080713625,0.00916041180630704,0.00921945533486772,0.0523835728995802,6.80673558336011e-05,6.80673558336106e-05,0.00746066169678341,0.0011107643627165,0.0257948782548261,0.0113334177560018,0.0131835471507437,-0.00418454849109851,0.0101857234570482,-0.0499408316708707,3.64989743800867e-15,4.63165691210274e-16,1
