WindFactorMode,U10,MssTotal,DeltaMss,DeltaPrimaryMss,Gamma
current,3,0.0236435246683965,0.000563489595352001,0.000563489595351999,0.783430372321979
current,5,0.0338463057235308,0.00153310254710166,0.00153310254710165,0.803151845973691
current,7,0.0440643992621435,0.00297148886090078,0.00297148886090078,0.801180267588824
current,10,0.0683282853267123,0.00618129991304542,0.00618129991304541,0.793400023433975
direction_only,3,0.0231460810660836,6.85887575272784e-05,6.85887575272749e-05,0.791455915123616
direction_only,5,0.0323919707772764,7.27763964411821e-05,7.27763964411786e-05,0.822536388803765
direction_only,7,0.0411733949804916,7.44052446542964e-05,7.44052446542982e-05,0.83488026520453
direction_only,10,0.0618324000366439,7.76986880685337e-05,7.7698688068532e-05,0.842046840520599
none,3,0.0231950794001247,0.000100250158554249,0.000100250158554248,0.791492629595572
none,5,0.0324225153344363,0.00010656709265279,0.000106567092652783,0.822552528660802
none,7,0.0412046621610395,0.00010897085079245,0.00010897085079245,0.834882977077189
none,10,0.0618495375671821,0.000113831718037243,0.000113831718037243,0.841945176762556
