U10,RawAlongMedian,RawCrossMedian,RawGamma,TargetAlong,TargetCross,TargetGamma,FittedAlongScale,FittedCrossScale,PredictedAlong,PredictedCross,PredictedGamma
1,0.0116693333757465,0.00669970448305205,0.757713107088559,0.0114296384317272,0.00670085402912981,0.765682696523088,0.98049145138506,1.00045349446174,0.0114416816182818,0.00670274276193041,0.765387467560964
2,0.0128483976211675,0.00779347581398804,0.778827202296154,0.0126371226959086,0.00778884375217511,0.785077254114589,0.981985592975662,0.998825217993662,0.0126169413568093,0.00778432017883494,0.785476693213717
3,0.0140604447739628,0.0087834233771367,0.790373515385957,0.013842235848032,0.00875158949518493,0.795134041249131,0.981077484781864,0.995483129299187,0.0137943857937537,0.00874374978943167,0.796155091340475
4,0.0170567443093837,0.0110864873518634,0.806211360028744,0.0166897494063389,0.0109796834385341,0.811091782698732,0.979637009034762,0.992052795895104,0.0167094179791153,0.0109983807740718,0.811304181232225
5,0.0194727033362359,0.0128692474156463,0.812949281325569,0.018944670171109,0.0127267620182755,0.819625454138009,0.978066549546212,0.98879301946645,0.0190455997624093,0.0127250220103777,0.817394938896947
6,0.0213678204111799,0.0143694818949018,0.820050206467554,0.0208379660069159,0.0141617324433767,0.824385852066799,0.976490936379575,0.98574504101785,0.0208654829617036,0.0141646455198952,0.82392680951081
7,0.0243957442918918,0.0166589852149757,0.826356095753399,0.0238194180221029,0.016392845932232,0.829586365154452,0.974954585254216,0.982900767476971,0.0237847427580693,0.0163741293531871,0.829716791196959
8,0.0288245486725468,0.0199814215620307,0.832591424202026,0.0281257638280311,0.0195738462672663,0.83423023070457,0.973473232084909,0.980240778782328,0.0280599265596529,0.019586604233143,0.835480482765755
9,0.0329220488447997,0.0228962275242442,0.833947168752422,0.0320253833443296,0.0223743791922242,0.835849964883564,0.972051149736632,0.977744610198494,0.0320019154312731,0.0223866630557081,0.836385884556539
10,0.0367066309335201,0.0254758697755676,0.83309062547824,0.0356046597076601,0.02486473747153,0.835677134704415,0.970687775744004,0.975393598056347,0.0356306779359147,0.0248490002840058,0.835107564709567
