U10,Seed,Group,MssAlong,MssCross,MssTotal,Gamma,PrimaryMss,ShortWaveMss,PreClosureMssTotal,PreClosureGamma
1,1,Linear Elfouhaily,0.0117984490876931,0.00685337198919479,0.0186518210768879,0.762148661403241,0.00836009644720296,0.0102917246296849,NaN,NaN
1,1,Elfouhaily-Constrained Modified Lie,0.0116442712201207,0.00687991907822312,0.0185241902983438,0.76866217202715,0.00834786837852035,0.0101763219198234,0.0187527543303035,0.760954976861757
1,2,Linear Elfouhaily,0.0120124973343145,0.00687431796209879,0.0188868152964133,0.756481228532263,0.00839522724005686,0.0104915880563565,NaN,NaN
1,2,Elfouhaily-Constrained Modified Lie,0.0118500387779766,0.00689267612768263,0.0187427149056592,0.762665411104153,0.00836989228205213,0.0103728226236071,0.0189753672512722,0.755018344052874
1,3,Linear Elfouhaily,0.0111312592753692,0.00679434947868168,0.0179256087540509,0.781271157419875,0.0084530337593055,0.00947257499474538,NaN,NaN
1,3,Elfouhaily-Constrained Modified Lie,0.010992078136366,0.00681572873125281,0.0178078068676188,0.787437775212812,0.00843593521346972,0.00937187165414906,0.0180234235033244,0.779542321481607
1,4,Linear Elfouhaily,0.0115227563641151,0.00663504585861133,0.0181578022227264,0.758828746490669,0.00850679377496022,0.00965100844776621,NaN,NaN
1,4,Elfouhaily-Constrained Modified Lie,0.0113824514954353,0.00665634815004521,0.0180387996454805,0.764715882724616,0.00849450017457093,0.00954429947090958,0.0182622556699811,0.757048256075719
1,5,Linear Elfouhaily,0.0115869280446742,0.00696204778586805,0.0185489758305422,0.775147489730274,0.00833295691753156,0.0102160189130107,NaN,NaN
1,5,Elfouhaily-Constrained Modified Lie,0.0114309840074427,0.00698301308404426,0.018413997091487,0.781591125012739,0.00831003910626508,0.0101039579852219,0.0186382706794469,0.773754294270664
1,6,Linear Elfouhaily,0.0113712482450623,0.0068622186653338,0.0182334669103961,0.776833965638292,0.00823007374218127,0.0100033931682148,NaN,NaN
1,6,Elfouhaily-Constrained Modified Lie,0.0112318143052143,0.00688398965124409,0.0181158039564583,0.782879907398541,0.00822092689807016,0.00989487705838818,0.0183361596099421,0.77503015433801
1,7,Linear Elfouhaily,0.0113320714500617,0.00678825846038743,0.0181203299104491,0.773970722609809,0.00849204556038786,0.00962828435006129,NaN,NaN
1,7,Elfouhaily-Constrained Modified Lie,0.0111915284963294,0.00681323274832554,0.018004761244655,0.780246645483517,0.00847986300139882,0.00952489824325614,0.0182243474166247,0.772423295522082
1,8,Linear Elfouhaily,0.0119479574654768,0.0068926427935129,0.0188406002589897,0.759531958323674,0.00854235986528237,0.0102982403937073,NaN,NaN
1,8,Elfouhaily-Constrained Modified Lie,0.0117926227101901,0.00691380324480334,0.0187064259549935,0.76569058325341,0.00852303346049676,0.0101833924944967,0.018937926333388,0.758013183511109
1,9,Linear Elfouhaily,0.0114764326059704,0.00658903489106735,0.0180654674970378,0.757717727874854,0.00853990794053438,0.00952555955650341,NaN,NaN
1,9,Elfouhaily-Constrained Modified Lie,0.0113061065509805,0.00660899943804656,0.0179151059890271,0.764559555413562,0.00849580657331285,0.00941929941571423,0.0181370644633777,0.756893496221917
1,10,Linear Elfouhaily,0.0116119467419621,0.00694471089226411,0.0185566576342262,0.773347289593101,0.00853838086036476,0.0100182767738615,NaN,NaN
1,10,Elfouhaily-Constrained Modified Lie,0.0114651811540427,0.00696274240101231,0.018427923555055,0.779291076808716,0.00851888296409998,0.009909040590955,0.018652886742009,0.771477308110075
1,11,Linear Elfouhaily,0.011502436304781,0.00703623844714244,0.0185386747519234,0.782123537308424,0.00841652844464223,0.0101221463072812,NaN,NaN
1,11,Elfouhaily-Constrained Modified Lie,0.0113680698399311,0.00706100419429019,0.0184290740342213,0.788115498712759,0.00841543451185819,0.0100136395223631,0.0186520604850806,0.780213249607107
1,12,Linear Elfouhaily,0.0112573756267779,0.00663521017233567,0.0178925857991136,0.767730444818678,0.00829340634953964,0.00959917944957394,NaN,NaN
1,12,Elfouhaily-Constrained Modified Lie,0.0111063088904801,0.0066521231619608,0.0177584320524409,0.773918568493724,0.008264778373439,0.00949365367900186,0.0179763956642873,0.766158668674832
1,13,Linear Elfouhaily,0.0115858719693386,0.006880723112019,0.0184665950813576,0.77064200706834,0.00824721447833057,0.010219380603027,NaN,NaN
1,13,Elfouhaily-Constrained Modified Lie,0.0114353159766211,0.00689909867254376,0.0183344146491649,0.776733602132781,0.00822739701532862,0.0101070176338363,0.0185588124665062,0.768945476632384
1,14,Linear Elfouhaily,0.011517474563933,0.00683272622322378,0.0183502007871568,0.770226362084903,0.00817777328421427,0.0101724275029426,NaN,NaN
1,14,Elfouhaily-Constrained Modified Lie,0.0113537950523947,0.0068546015585818,0.0182083966109765,0.776999219294356,0.00814764330510643,0.01006075330587,0.0184311926006305,0.76920843051303
1,15,Linear Elfouhaily,0.011565479211998,0.00691701101462195,0.0184824902266199,0.773352364051108,0.0082295688771912,0.0102529213494287,NaN,NaN
1,15,Elfouhaily-Constrained Modified Lie,0.0114022129451215,0.00693695988395088,0.0183391728290724,0.779991765395481,0.00819879919754465,0.0101403736315277,0.0185628948431131,0.772170971056861
1,16,Linear Elfouhaily,0.0114988563601602,0.00670231295332024,0.0182011693134804,0.763457783015634,0.00842857889804852,0.00977259041543188,NaN,NaN
1,16,Elfouhaily-Constrained Modified Lie,0.0113483659560612,0.0067278289406067,0.0180761948966679,0.769964681173096,0.00841272870007962,0.00966346619658831,0.0182989403298171,0.762244426054245
1,17,Linear Elfouhaily,0.0119266934289132,0.00704597897584464,0.0189726724047579,0.768618163948465,0.00825573773771224,0.0107169346670456,NaN,NaN
1,17,Elfouhaily-Constrained Modified Lie,0.0117598330781341,0.00706732173166944,0.0188271548098035,0.775223362968816,0.00822912282349447,0.0105980319863091,0.0190579331943546,0.767450380282007
1,18,Linear Elfouhaily,0.0115163228070085,0.00673005785515853,0.018246380662167,0.764455982855617,0.00834480766840531,0.00990157299376168,NaN,NaN
1,18,Elfouhaily-Constrained Modified Lie,0.0113681723653896,0.00675290340409587,0.0181210757694855,0.770725882747913,0.00832923070896225,0.00979184506052325,0.0183442039189312,0.762997995239552
1,19,Linear Elfouhaily,0.0113301072650047,0.0070008355475984,0.0183309428126031,0.786064036708613,0.00844409071605415,0.00988685209654893,NaN,NaN
1,19,Elfouhaily-Constrained Modified Lie,0.0111699787405852,0.00701353240451738,0.0181835111451026,0.792395919930755,0.00840134938854593,0.00978216175655662,0.0184025777543411,0.784450752046324
1,20,Linear Elfouhaily,0.0119110677861817,0.00695556218712575,0.0188666299733074,0.764171384374779,0.00857266697065349,0.0102939630026539,NaN,NaN
1,20,Elfouhaily-Constrained Modified Lie,0.0117513765139753,0.00697754106065334,0.0187289175746286,0.770560654499773,0.00854889622754473,0.0101800213470839,0.0189595683980034,0.762834423696271
2,1,Linear Elfouhaily,0.0130338794726262,0.00795174738029301,0.0209856268529193,0.781078056394848,0.00838319397694663,0.0126024328759726,NaN,NaN
2,1,Elfouhaily-Constrained Modified Lie,0.0128753007800706,0.00796587890740985,0.0208411796874804,0.786571412957644,0.00837547936085367,0.0124657003266267,0.0210867447021809,0.779912654637168
2,2,Linear Elfouhaily,0.0132946466309817,0.00804517922235717,0.0213398258533389,0.777910193656071,0.00841854428170476,0.0129212815716341,NaN,NaN
2,2,Elfouhaily-Constrained Modified Lie,0.0131272471454959,0.00805098601584457,0.0211782331613404,0.783136931832502,0.00839775914490897,0.0127804740164315,0.0214285202015605,0.776507248278019
