Group,U10,AlongMedian,CrossMedian,TotalMedian,TotalQ05,TotalQ25,TotalQ75,TotalQ95,GammaMedian,PreClosureTotalMedian,PreClosureGammaMedian
Linear Elfouhaily,1,0.0115201154640241,0.00686826831371629,0.0184607753666475,0.017923957606304,0.0181990009589427,0.0186470629047548,0.0189683795493407,0.769422263016684,NaN,NaN
Linear Elfouhaily,2,0.0127222534903501,0.00797572981224637,0.0207882205928378,0.0201752899868983,0.0204704581426707,0.0209814865782707,0.0214376793752076,0.789152283110734,NaN,NaN
Linear Elfouhaily,3,0.0139440969282402,0.00895124322252077,0.0229114422852425,0.0224275431599065,0.0226338393636338,0.0231962766322412,0.023691366547235,0.798463499729553,NaN,NaN
Linear Elfouhaily,4,0.0168373356823912,0.0112215968257532,0.0281207111261611,0.0276488947692545,0.0277593335493995,0.0283019123938126,0.0288757646611159,0.813746444040406,NaN,NaN
Linear Elfouhaily,5,0.0191713440114739,0.0129851588546391,0.0321779696076078,0.0316652691411828,0.0319171650379697,0.0324070697837643,0.0330448434672151,0.822362682601017,NaN,NaN
Linear Elfouhaily,6,0.0211109141760209,0.014441097143463,0.0356354250698004,0.0349993802079883,0.0353230734514594,0.0359075244835859,0.0364162967492059,0.828584485030003,NaN,NaN
Linear Elfouhaily,7,0.024174577770406,0.016718216882976,0.0410834083428972,0.0402453195896606,0.0406213786078047,0.0415027186749439,0.0419277509851672,0.834265327991803,NaN,NaN
Linear Elfouhaily,8,0.0285884272830672,0.0200552191541055,0.0487771493494985,0.0476049224387081,0.0480662608049276,0.0493601838149098,0.0499178653030382,0.837483532022712,NaN,NaN
Linear Elfouhaily,9,0.0325978419229587,0.022988370973887,0.0555701242122485,0.0542130721530319,0.0547375484806698,0.0563189257960903,0.0570989357006443,0.838669858016764,NaN,NaN
Linear Elfouhaily,10,0.0362307526226329,0.0255661046603681,0.0615564041316957,0.0602269089989304,0.0609752421287794,0.0625020692948161,0.0636143222355911,0.837989491378635,NaN,NaN
Elfouhaily-Constrained Modified Lie,1,0.0113753119304125,0.00688833288946336,0.0183281137472555,0.0178053381268599,0.0180743251341086,0.0185194344851376,0.0188229328145963,0.775978482550799,0.0184950025335683,0.768197928457196
Elfouhaily-Constrained Modified Lie,2,0.0125727952044589,0.00798472707561331,0.0206389625655309,0.0200348598757149,0.0203292743317701,0.0208366484938222,0.0212739745906496,0.794820149113873,0.020827673331145,0.788091560718709
Elfouhaily-Constrained Modified Lie,3,0.0137589689599018,0.00893229188390262,0.0227026338251228,0.0222137887687346,0.02243093153015,0.022987632232944,0.0234618584777485,0.803273434900323,0.022997246664287,0.797440166449695
Elfouhaily-Constrained Modified Lie,4,0.0165712916107231,0.0111522643640326,0.0277720005990242,0.0272975237315673,0.027441872702649,0.027963987081563,0.0285279849296564,0.817813862974865,0.0281858987071726,0.812680178373938
Elfouhaily-Constrained Modified Lie,5,0.0188227113586324,0.0128613997326027,0.0316915177575634,0.0312116206604856,0.0314307483709041,0.0319237066555634,0.0325623117673273,0.825790336527324,0.0322300869797827,0.821299017964834
Elfouhaily-Constrained Modified Lie,6,0.020687002955491,0.0142533818994961,0.0350328901118954,0.0344130882499536,0.0347108218174049,0.0352963414047456,0.0357970155552916,0.831498667265964,0.0357366263225869,0.827586438380124
Elfouhaily-Constrained Modified Lie,7,0.023654093886378,0.0164482519454116,0.0402975075112656,0.0394748465193515,0.039845910388755,0.0406749097569892,0.0411051481302138,0.836627329206504,0.0411050078671029,0.833238643231901
Elfouhaily-Constrained Modified Lie,8,0.0279234377146653,0.0196751264864262,0.0477444151127786,0.046584141422712,0.0470384860939535,0.0482929811720689,0.0488245923758909,0.839707372384066,0.0488178600493773,0.836803697402716
Elfouhaily-Constrained Modified Lie,9,0.0317670682347222,0.0224970365164254,0.0542538468520442,0.0529362621177632,0.0534520005837801,0.0549737401960904,0.0557293007239224,0.840513036423362,0.055657043812072,0.838062286759433
Elfouhaily-Constrained Modified Lie,10,0.0352482348792368,0.0249577212306361,0.0599784210482129,0.0586901181186227,0.0594178767156854,0.060888816153986,0.0619527985565524,0.839466828948181,0.0616617197313247,0.837439361287422
