Sample,Seed,Chi,CurlMultiplier,PreRcs_dBsm,CurlRcs_dBsm,Gb_dB,DistributedCurlRcs_dBsm,NonBraggRcs_dBsm,BreakerActivity,JacobianSeverity,PreLocalNrcs_dB,CurlLocalNrcs_dB,PreVisibleFraction,CurlVisibleFraction,MaxForwardDisplacement_m,MaxDownwardDisplacement_m,MinimumPropagationJacobian,OverturningPointCount
1,20260832,0.67375,0.9095625,-6.6893702979425,-1.25629430570349,5.43307599223902,-5.71728386487484,-3.18104449933856,0.897206830396247,0.331661343816321,-13.9157095232806,-8.48263353104161,0.99905303030303,0.960227272727273,0.171232785747254,0.0724271818256287,-0.331661343816321,28
2,20260833,0.77875,1.0513125,-5.0644487891056,1.03040849463256,6.09485728373816,-4.76102132089145,-0.298137361053065,1.19864653458739,0.53919298181366,-12.2907880144437,-6.19593073070557,0.99905303030303,0.954545454545455,0.197918414694879,0.0797277894660493,-0.53919298181366,35
3,20260834,0.58375,0.7880625,-6.2407536831814,-1.6286444517755,4.61210923140591,-5.41903933563521,-3.97786557698999,0.673517372011961,0.153777082675737,-13.4670929085195,-8.85498367711362,0.986268939393939,0.956439393939394,0.148359389506434,0.0625971323867067,-0.153777082675737,21
4,20260835,0.63625,0.8589375,-5.69826194099951,-0.669763136173326,5.02849880482618,-4.96908315114795,-2.68735579939516,0.800111671190344,0.257542901674411,-12.9246011663376,-7.89610236151145,1,0.965435606060606,0.161702203980246,0.0543887637809575,-0.257542901674411,27
5,20260836,0.68125,0.9196875,-5.55059323700713,-0.255525106808395,5.29506813019873,-5.17089901218002,-1.9461126966051,0.917292928216704,0.346485032244703,-12.7769324623452,-7.48186433214652,0.982481060606061,0.947443181818182,0.173138902100656,0.0718217093979523,-0.346485032244703,29
6,20260837,0.90625,1.2234375,-5.59474130010438,1.63996031092616,7.23470161103054,-4.68863857348557,0.488569326184703,1.62327108961841,0.791195685096178,-12.8210805254425,-5.58637891441196,1,0.926609848484849,0.230322392702708,0.0820318919599959,-0.791195685096178,56
7,20260838,0.96625,1.3044375,-6.5369618966637,1.20189643130264,7.73885832796634,-5.30486779190514,0.103178476571953,1.84532994227556,0.909785192523214,-13.7633011220018,-6.02444279403549,1,0.924715909090909,0.245571323529922,0.0884015072150638,-0.909785192523214,64
8,20260839,0.92125,1.2436875,-4.88375799448361,2.31497967830421,7.19873767278782,-4.65980328063166,1.34214225756659,1.67745167082414,0.82084306195293,-12.1100972198217,-4.91135954703392,1,0.954545454545455,0.234134625409511,0.0731531635042948,-0.82084306195293,58
9,20260840,0.83875,1.1323125,-5.11308422765708,1.53108172129087,6.64416594894795,-4.53855191198121,0.297916670591907,1.39046506285065,0.657782489240716,-12.3394234529952,-5.69525750404726,1,0.951704545454545,0.213167345522092,0.0756445760231558,-0.657782489240716,39
10,20260841,0.85375,1.1525625,-4.66681384473768,2.09475155209422,6.76156539683191,-4.72843392769056,1.08300573638548,1.50328716482548,0.760804878272894,-11.8931530700758,-5.1315876732439,0.981297348484849,0.941998106060606,0.216979578228896,0.0705964193519062,-0.760804878272894,48
11,20260842,0.69625,0.9399375,-5.98428940305153,-0.420904353449395,5.56338504960213,-5.17453431161148,-2.19063500470777,0.958132189836897,0.376132409101468,-13.2106286283896,-7.64724357878752,1,0.959753787878788,0.17695113480746,0.0803226678782396,-0.376132409101468,31
12,20260843,0.57625,0.7779375,-5.43758041351047,-1.04160347497145,4.39597693853902,-4.98093322199245,-3.28701141084833,0.656321893435038,0.138953394247355,-12.6639196388486,-8.26794270030957,1,0.966856060606061,0.146453273153032,0.055481187503673,-0.138953394247355,21
13,20260844,0.80875,1.0918125,-5.88749786245504,0.951484806860248,6.83898266931529,-4.90357527956439,-0.354515025172751,1.4300732235172,0.768251281010449,-13.1138370877932,-6.27485441847788,0.996685606060606,0.928977272727273,0.205542880108485,0.086351516796672,-0.768251281010449,58
