Source,Figure,Wave,Stage,Chi,Direct_dB,SingleBounce_dB,DoubleBounce_dB,DominantPath_dB,PreReference_dB,Gb_dB,DigitizationUncertainty_dB,Notes
Kim_Johnson_2002,Fig_8a,1,prebreaking,NaN,-27.3,-49.0,-79.0,-27.3,-21.65,-5.65,1.0,HH fixed channel; dominant path is max of three plotted mechanisms
Kim_Johnson_2002,Fig_8a,2,prebreaking,NaN,-27.3,-51.5,-76.5,-27.3,-21.65,-5.65,1.0,HH fixed channel; dominant path is max of three plotted mechanisms
Kim_Johnson_2002,Fig_8a,3,prebreaking,NaN,-26.5,-50.0,-78.5,-26.5,-21.65,-4.85,1.0,HH fixed channel; dominant path is max of three plotted mechanisms
Kim_Johnson_2002,Fig_8a,4,prebreaking,NaN,-23.3,-43.3,-71.3,-23.3,-21.65,-1.65,1.0,HH fixed channel; dominant path is max of three plotted mechanisms
Kim_Johnson_2002,Fig_8a,5,prebreaking,NaN,-20.0,-38.0,-69.5,-20.0,-21.65,1.65,1.0,HH fixed channel; dominant path is max of three plotted mechanisms
Kim_Johnson_2002,Fig_8a,6,prebreaking,NaN,-16.8,-28.7,-54.5,-16.8,-21.65,4.85,1.0,HH fixed channel; dominant path is max of three plotted mechanisms
Kim_Johnson_2002,Fig_8a,7,prebreaking,NaN,-14.6,-23.0,-48.0,-14.6,-21.65,7.05,1.0,HH fixed channel; dominant path is max of three plotted mechanisms
Kim_Johnson_2002,Fig_8a,8,prebreaking,NaN,-14.0,-19.0,-41.5,-14.0,-21.65,7.65,1.0,HH fixed channel; dominant path is max of three plotted mechanisms
Kim_Johnson_2002,Fig_8a,9,breaking,0.125,-14.0,-14.1,-35.7,-14.0,-21.65,7.65,1.0,HH fixed channel; wave 9 starts the paper's high-ratio breaking interval
Kim_Johnson_2002,Fig_8a,10,breaking,0.250,-16.0,-14.9,-29.5,-14.9,-21.65,6.75,1.0,HH fixed channel; dominant path is max of three plotted mechanisms
Kim_Johnson_2002,Fig_8a,11,breaking,0.375,-17.8,-13.8,-26.5,-13.8,-21.65,7.85,1.0,HH fixed channel; dominant path is max of three plotted mechanisms
Kim_Johnson_2002,Fig_8a,12,breaking,0.500,-20.9,-14.1,-23.5,-14.1,-21.65,7.55,1.0,HH fixed channel; text reports single bounce 6.8 dB above direct
Kim_Johnson_2002,Fig_8a,13,breaking,0.625,-21.2,-17.5,-21.5,-17.5,-21.65,4.15,1.0,HH fixed channel; paper says three HH terms lie within 4 dB
Kim_Johnson_2002,Fig_8a,14,breaking,0.750,-16.2,-24.5,-22.7,-16.2,-21.65,5.45,1.0,HH fixed channel; dominant path is max of three plotted mechanisms
Kim_Johnson_2002,Fig_8a,15,breaking,0.875,-16.6,-17.4,-26.5,-16.6,-21.65,5.05,1.0,HH fixed channel; dominant path is max of three plotted mechanisms
Kim_Johnson_2002,Fig_8a,16,breaking,1.000,-19.4,-21.4,-27.5,-19.4,-21.65,2.25,1.0,text reports single bounce 2.2 dB below direct
